Cluster	Id
3	5503
0	5501
3	5537
3	5538
0	5553
3	5566
3	5567
3	5579
2	5581
3	5592
3	5600
0	5614
1	3772
0	1971
1	5619
0	5596
-1	5554
0	4136
3	5652
3	5653
4	4924
0	4361
3	5703
6	5700
4	5711
4	5433
3	5717
3	5702
3	5755
3	5756
0	3427
-1	5783
3	5792
-1	5777
3	5793
2	3285
3	5815
3	5816
1	5801
-1	5605
2	5832
3	5843
0	5825
5	5831
4	5854
3	5855
1	5852
-1	4521
3	5867
3	5868
3	5878
1	5881
3	5885
3	5891
3	5892
3	5894
2	5886
3	5897
3	5890
2	5903
0	2132
3	5919
4	5920
3	5924
3	5926
3	5927
3	5931
3	5932
3	5933
3	5934
0	5449
4	5939
0	5921
2	5948
0	5928
3	5953
3	5964
3	5979
3	5980
3	5981
0	5983
5	3479
0	3804
3	5993
3	5995
3	5992
3	5997
3	5998
5	3992
3	6004
3	6005
-1	37
3	46
0	500
1	678
3	1228
6	1442
2	1444
3	1748
3	1745
3	1761
0	1556
3	1821
2	1774
3	1831
3	1835
0	1893
0	1844
2	2043
1	3450
2	3593
5	44
1	301
5	811
-1	3018
2	298
2	787
2	627
2	842
1	176
2	313
2	315
0	318
2	435
1	688
1	325
0	735
2	904
2	667
1	404
2	451
2	453
2	5257
0	5103
3	5866
0	4304
3	5936
0	3451
2	3583
0	5712
3	83
3	86
4	105
3	140
1	148
5	147
4	157
0	163
4	162
3	168
-1	174
2	233
2	357
1	372
0	265
2	201
3	859
1	150
2	1415
2	1422
0	1400
1	1436
1	1319
2	1384
1	1377
0	1477
0	1490
2	1500
6	1507
2	718
0	1512
2	1633
0	1591
0	1885
3	2041
0	2805
2	3421
0	3463
2	3442
0	3476
1	2742
0	4599
0	4635
3	5974
-1	697
0	2053
3	2452
0	2593
0	2778
-1	2679
0	2861
0	1403
2	4214
0	4611
0	3278
0	4833
0	4649
0	3714
3	99
0	1185
2	943
2	659
-1	2937
3	94
0	221
2	316
2	317
2	407
2	300
0	288
2	503
0	441
4	487
2	477
3	541
0	488
-1	520
3	721
0	770
0	633
-1	238
0	273
0	1094
0	1107
0	1145
0	1143
0	1139
-1	1140
0	1473
0	3099
0	3571
0	3345
0	3160
3	131
1	412
2	2823
3	172
5	194
5	191
3	205
3	213
4	218
0	224
0	214
-1	230
2	208
0	242
0	244
2	164
5	250
3	252
2	255
4	264
0	276
4	279
2	299
0	229
1	340
5	339
0	359
